accuracy,precision,recall,f1,fpr,fnr,model,oversample,applicable,n_features,attack,asr,family,epsilon,iters,confidence,n_train,n_categorical_selected,categorical_selected,resampled,seed
0.5709445852780213,0.8517539044957837,0.529976093638424,0.6533971291866029,0.2971,0.470023906361576,LR,smotenc,True,,PGD_eps0.5_it10,0.3592835651164444,PGD,0.5,10.0,,257668.0,2.0,proto;conn_state,True,42
0.4496671326020517,0.7579866697310963,0.4095749635195131,0.5317961018281498,0.4212,0.5904250364804868,SVM,smotenc,True,,PGD_eps0.5_it10,0.4828354142481461,PGD,0.5,10.0,,257668.0,2.0,proto;conn_state,True,42
0.2497808524248383,0.5948968891995806,0.0528423732497128,0.0970630168234958,0.1159,0.9471576267502873,RF,smotenc,True,,PGD_eps0.5_it10,0.7492951740150205,PGD,0.5,10.0,,257668.0,2.0,proto;conn_state,True,42
0.0416025018361013,0.1228038067349926,0.0416653730323822,0.0622203676658089,0.9586,0.9583346269676176,MLP,smotenc,True,,PGD_eps0.5_it10,0.9573550664550214,PGD,0.5,10.0,,257668.0,2.0,proto;conn_state,True,42
0.5576298893600891,0.8450675503441244,0.5146387655624204,0.6397036122259957,0.3039,0.4853612344375795,LR,smotenc,True,,PGD_eps0.5_it25,0.372645644293871,PGD,0.5,25.0,,257668.0,2.0,proto;conn_state,True,42
0.4166646923641877,0.7184315080324754,0.3873761991989816,0.5033483943843795,0.489,0.6126238008010183,SVM,smotenc,True,,PGD_eps0.5_it25,0.51583785448601,PGD,0.5,25.0,,257668.0,2.0,proto;conn_state,True,42
0.2254021654149589,0.3760204081632653,0.0228818032227017,0.0431385173695454,0.1223,0.9771181967772984,RF,smotenc,True,,PGD_eps0.5_it25,0.7737686275438888,PGD,0.5,25.0,,257668.0,2.0,proto;conn_state,True,42
0.0416025018361013,0.1228038067349926,0.0416653730323822,0.0622203676658089,0.9586,0.9583346269676176,MLP,smotenc,True,,PGD_eps0.5_it25,0.9573550664550214,PGD,0.5,25.0,,257668.0,2.0,proto;conn_state,True,42
0.5148428060366272,0.8384788504818512,0.4511161476605917,0.5866203722394929,0.2799,0.5488838523394083,LR,smotenc,True,,PGD_eps0.75_it10,0.4152668862091023,PGD,0.75,10.0,,257668.0,2.0,proto;conn_state,True,42
0.4399535644056954,0.7550595238095238,0.3938340215467726,0.5176600216286804,0.4115,0.6061659784532274,SVM,smotenc,True,,PGD_eps0.75_it10,0.4896586036153427,PGD,0.75,10.0,,257668.0,2.0,proto;conn_state,True,42
0.2281030112061408,0.4538690476190476,0.0568164177714303,0.1009905907673629,0.2202,0.9431835822285696,RF,smotenc,True,,PGD_eps0.75_it10,0.7710203984932124,PGD,0.75,10.0,,257668.0,2.0,proto;conn_state,True,42
0.0411997441303987,0.1221988475258392,0.0414790896954267,0.0619350053312317,0.9597,0.9585209103045732,MLP,smotenc,True,,PGD_eps0.75_it10,0.957757824160724,PGD,0.75,10.0,,257668.0,2.0,proto;conn_state,True,42
0.4370631855765358,0.7629809488233097,0.3804837157316278,0.5077582813697665,0.3807,0.6195162842683722,LR,smotenc,True,,PGD_eps0.75_it25,0.4934492643748963,PGD,0.75,25.0,,257668.0,2.0,proto;conn_state,True,42
0.4182046482977564,0.7498693834900731,0.356484212487193,0.4832389890785126,0.383,0.643515787512807,SVM,smotenc,True,,PGD_eps0.75_it25,0.514700656258144,PGD,0.75,25.0,,257668.0,2.0,proto;conn_state,True,42
