model,attack,n,n_detected_clean,asr,fnr_under_attack,family,epsilon,iters,traffic_family,confidence,seed
MLP,FGSM_eps0.5,3903,3860,1.0,0.988982833717653,FGSM,0.5,1,ransomware,,42
MLP,FGSM_eps0.5,4041,3976,1.0,0.9841623360554318,FGSM,0.5,1,scanning,,42
MLP,FGSM_eps0.5,4002,3943,0.9885873700228252,0.9742628685657172,FGSM,0.5,1,xss,,42
LR,FGSM_eps0.75,4053,4050,0.9962962962962963,0.996299037749815,FGSM,0.75,1,backdoor,,42
LR,FGSM_eps0.75,4004,2956,0.5595399188092016,0.422077922077922,FGSM,0.75,1,ddos,,42
LR,FGSM_eps0.75,4117,3608,0.0024944567627494,0.1173184357541899,FGSM,0.75,1,dos,,42
LR,FGSM_eps0.75,3900,3740,0.4066844919786096,0.4251282051282051,FGSM,0.75,1,injection,,42
LR,FGSM_eps0.75,209,112,0.4017857142857143,0.6411483253588517,FGSM,0.75,1,mitm,,42
LR,FGSM_eps0.75,10000,0,,,FGSM,0.75,1,normal,,42
LR,FGSM_eps0.75,3980,3935,0.4363405336721728,0.4414572864321608,FGSM,0.75,1,password,,42
LR,FGSM_eps0.75,3903,3336,0.8087529976019184,0.8296182423776582,FGSM,0.75,1,ransomware,,42
LR,FGSM_eps0.75,4041,3649,0.8711975883803782,0.8695867359564464,FGSM,0.75,1,scanning,,42
LR,FGSM_eps0.75,4002,3722,0.4261149919398173,0.4575212393803098,FGSM,0.75,1,xss,,42
SVM,FGSM_eps0.75,4053,4053,0.995558845299778,0.995558845299778,FGSM,0.75,1,backdoor,,42
SVM,FGSM_eps0.75,4004,2956,0.560893098782138,0.4218281718281718,FGSM,0.75,1,ddos,,42
SVM,FGSM_eps0.75,4117,3609,0.9939041285674702,0.9839689094000486,FGSM,0.75,1,dos,,42
SVM,FGSM_eps0.75,3900,3740,0.4136363636363636,0.431025641025641,FGSM,0.75,1,injection,,42
SVM,FGSM_eps0.75,209,113,0.2831858407079646,0.5502392344497608,FGSM,0.75,1,mitm,,42
SVM,FGSM_eps0.75,10000,0,,,FGSM,0.75,1,normal,,42
SVM,FGSM_eps0.75,3980,3936,0.4420731707317073,0.4469849246231155,FGSM,0.75,1,password,,42
SVM,FGSM_eps0.75,3903,3328,0.8515625,0.8665129387650525,FGSM,0.75,1,ransomware,,42
SVM,FGSM_eps0.75,4041,3653,0.8724336162058582,0.8700816629547142,FGSM,0.75,1,scanning,,42
SVM,FGSM_eps0.75,4002,3719,0.4302231782737295,0.4590204897551224,FGSM,0.75,1,xss,,42
RF,FGSM_eps0.75,4053,4053,0.999013076733284,0.999013076733284,FGSM,0.75,1,backdoor,,42
RF,FGSM_eps0.75,4004,3988,0.8989468405215647,0.8961038961038961,FGSM,0.75,1,ddos,,42
RF,FGSM_eps0.75,4117,4109,0.9919688488683378,0.9917415593879038,FGSM,0.75,1,dos,,42
RF,FGSM_eps0.75,3900,3895,0.971245186136072,0.9702564102564104,FGSM,0.75,1,injection,,42
RF,FGSM_eps0.75,209,200,0.895,0.8851674641148325,FGSM,0.75,1,mitm,,42
RF,FGSM_eps0.75,10000,0,,,FGSM,0.75,1,normal,,42
RF,FGSM_eps0.75,3980,3980,0.9967336683417084,0.9967336683417084,FGSM,0.75,1,password,,42
RF,FGSM_eps0.75,3903,3903,0.9953881629515756,0.9953881629515756,FGSM,0.75,1,ransomware,,42
RF,FGSM_eps0.75,4041,4041,0.7050235090324177,0.7050235090324177,FGSM,0.75,1,scanning,,42
RF,FGSM_eps0.75,4002,4002,0.9842578710644676,0.9842578710644676,FGSM,0.75,1,xss,,42
MLP,FGSM_eps0.75,4053,4049,1.0,1.0,FGSM,0.75,1,backdoor,,42
MLP,FGSM_eps0.75,4004,2975,0.9932773109243698,0.7395104895104895,FGSM,0.75,1,ddos,,42
MLP,FGSM_eps0.75,4117,4066,0.999262174126906,0.9873694437697352,FGSM,0.75,1,dos,,42
MLP,FGSM_eps0.75,3900,3867,0.91336953710887,0.9056410256410256,FGSM,0.75,1,injection,,42
MLP,FGSM_eps0.75,209,160,0.91875,0.7272727272727273,FGSM,0.75,1,mitm,,42
MLP,FGSM_eps0.75,10000,0,,,FGSM,0.75,1,normal,,42
MLP,FGSM_eps0.75,3980,3970,0.9322418136020152,0.9309045226130652,FGSM,0.75,1,password,,42
MLP,FGSM_eps0.75,3903,3860,1.0,0.988982833717653,FGSM,0.75,1,ransomware,,42
MLP,FGSM_eps0.75,4041,3976,0.999748490945674,0.983914872556298,FGSM,0.75,1,scanning,,42
MLP,FGSM_eps0.75,4002,3943,0.9860512300278976,0.9717641179410296,FGSM,0.75,1,xss,,42
LR,PGD_eps0.15_it10,4053,4050,0.5079012345679013,0.5082654823587466,PGD,0.15,10,backdoor,,42
LR,PGD_eps0.15_it10,4004,2956,0.0043978349120433,0.0399600399600399,PGD,0.15,10,ddos,,42
LR,PGD_eps0.15_it10,4117,3608,0.0008314855875831,0.1204760748117561,PGD,0.15,10,dos,,42
LR,PGD_eps0.15_it10,3900,3740,0.0010695187165775,0.0392307692307692,PGD,0.15,10,injection,,42
LR,PGD_eps0.15_it10,209,112,0.0178571428571428,0.4688995215311005,PGD,0.15,10,mitm,,42
LR,PGD_eps0.15_it10,10000,0,,,PGD,0.15,10,normal,,42
LR,PGD_eps0.15_it10,3980,3935,0.041423125794155,0.0520100502512562,PGD,0.15,10,password,,42
LR,PGD_eps0.15_it10,3903,3336,0.2823741007194245,0.3866256725595696,PGD,0.15,10,ransomware,,42
LR,PGD_eps0.15_it10,4041,3649,0.0767333516031789,0.1561494679534768,PGD,0.15,10,scanning,,42
LR,PGD_eps0.15_it10,4002,3722,0.0029554003224073,0.0702148925537231,PGD,0.15,10,xss,,42
SVM,PGD_eps0.15_it10,4053,4053,0.5075252899087096,0.5075252899087096,PGD,0.15,10,backdoor,,42
SVM,PGD_eps0.15_it10,4004,2956,0.0209742895805142,0.0344655344655344,PGD,0.15,10,ddos,,42
SVM,PGD_eps0.15_it10,4117,3609,0.0138542532557495,0.1309205732329366,PGD,0.15,10,dos,,42
SVM,PGD_eps0.15_it10,3900,3740,0.0066844919786096,0.0446153846153846,PGD,0.15,10,injection,,42
SVM,PGD_eps0.15_it10,209,113,0.0265486725663716,0.4641148325358851,PGD,0.15,10,mitm,,42
