accuracy,precision,recall,f1,fpr,fnr,model,split,n_train,n_test,test_attack_rate,attack,asr,family,epsilon,iters,confidence
0.5448174573674334,0.640117994100295,0.0043138580203963975,0.008569961691876309,0.002033333333333333,0.9956861419796036,RF,random,441209,110303,0.45604380660544136,PGD_eps0.15_it10,0.45500122390143516,PGD,0.15,10.0,
0.4144855534300971,0.04574082320758318,0.01429338210444705,0.021780618581684893,0.25,0.9857066178955529,MLP,random,441209,110303,0.45604380660544136,PGD_eps0.15_it10,0.5850067541227346,PGD,0.15,10.0,
0.6206268188535217,0.5812657352065036,0.6012563862990279,0.5910920888055035,0.3631333333333333,0.3987436137009721,LR,random,441209,110303,0.45604380660544136,PGD_eps0.15_it25,0.30590283129198664,PGD,0.15,25.0,
0.4263709962557682,0.31255058388252976,0.21495735840804722,0.25472620407778657,0.3963833333333333,0.7850426415919528,SVM,random,441209,110303,0.45604380660544136,PGD_eps0.15_it25,0.4975114004152199,PGD,0.15,25.0,
0.5448355892405465,0.6750902527075813,0.0037174721189591076,0.007394226967180704,0.0015,0.9962825278810409,RF,random,441209,110303,0.45604380660544136,PGD_eps0.15_it25,0.454983092028322,PGD,0.15,25.0,
0.414893520575143,0.04575622208040842,0.014253623044351231,0.021736164794688737,0.24921666666666667,0.9857463769556488,MLP,random,441209,110303,0.45604380660544136,PGD_eps0.15_it25,0.584571589168019,PGD,0.15,25.0,
0.40171164882188154,0.2963184131270121,0.22688507643679304,0.25699456197435233,0.45171666666666666,0.773114923563207,LR,random,441209,110303,0.45604380660544136,PGD_eps0.3_it10,0.5252441003417858,PGD,0.3,10.0,
0.10859178807466706,0.02624205832445444,0.026439774963719857,0.02634054562558796,0.8225333333333333,0.9735602250362801,SVM,random,441209,110303,0.45604380660544136,PGD_eps0.3_it10,0.8156804438682538,PGD,0.3,10.0,
0.5191517909757668,0.4078539673986259,0.12037055444009304,0.18588159449876437,0.14651666666666666,0.879629445559907,RF,random,441209,110303,0.45604380660544136,PGD_eps0.3_it10,0.4806850221662149,PGD,0.3,10.0,
0.13236267372600927,0.013668694832462079,0.012683140170566367,0.013157487703523443,0.7673,0.9873168598294336,MLP,random,441209,110303,0.45604380660544136,PGD_eps0.3_it10,0.8672746888117276,PGD,0.3,10.0,
0.3600627362809715,0.2609033900702532,0.2200067590402163,0.238716148445336,0.5225166666666666,0.7799932409597837,LR,random,441209,110303,0.45604380660544136,PGD_eps0.3_it25,0.5665666391666591,PGD,0.3,25.0,
0.11220909676074087,0.026393778467291205,0.02638013637357613,0.026386955657188307,0.8158333333333333,0.9736198636264238,SVM,random,441209,110303,0.45604380660544136,PGD_eps0.3_it25,0.8120722011187366,PGD,0.3,25.0,
0.4347479216340444,0.012544512787309808,0.0030813271574259985,0.0049474137793453455,0.20335,0.996918672842574,RF,random,441209,110303,0.45604380660544136,PGD_eps0.3_it25,0.5650888915079372,PGD,0.3,25.0,
0.11392255876993372,0.013097926503797989,0.012683140170566367,0.012887196630745458,0.8012,0.9873168598294336,MLP,random,441209,110303,0.45604380660544136,PGD_eps0.3_it25,0.8857148037678032,PGD,0.3,25.0,
0.1958242296220411,0.03815067834119119,0.03152893465598473,0.03452517006802721,0.6664333333333333,0.9684710653440153,LR,random,441209,110303,0.45604380660544136,PGD_eps0.5_it10,0.7308958051911553,PGD,0.5,10.0,
0.017497257554191636,0.018299157210166568,0.021927121642844362,0.01994953833910598,0.9862166666666666,0.9780728783571556,SVM,random,441209,110303,0.45604380660544136,PGD_eps0.5_it10,0.9070650843585396,PGD,0.5,10.0,
0.6439897373598179,0.835420719844358,0.2731646223883267,0.4117091878773352,0.045116666666666666,0.7268353776116733,RF,random,441209,110303,0.45604380660544136,PGD_eps0.5_it10,0.3558470757821637,PGD,0.5,10.0,
0.08911815635114186,0.012230691452127245,0.012504224400135181,0.012365945483677542,0.84665,0.9874957755998648,MLP,random,441209,110303,0.45604380660544136,PGD_eps0.5_it10,0.9105282721231517,PGD,0.5,10.0,
0.2315258877818373,0.05380910456263918,0.04130966343955629,0.04673811585564715,0.609,0.9586903365604437,LR,random,441209,110303,0.45604380660544136,PGD_eps0.5_it25,0.6952122789044722,PGD,0.5,25.0,
