accuracy,precision,recall,f1,fpr,fnr,model,sigma,eval_attack,smooth_s_per_sample,n0,n,family,epsilon,iters,confidence,seed
0.21,0.4761904761904761,0.0636942675159235,0.1123595505617977,0.2558139534883721,0.9363057324840764,RF,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,,31
0.3,0.84,0.1337579617834395,0.2307692307692307,0.0930232558139534,0.8662420382165605,RF,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0,31
0.275,0.75,0.1146496815286624,0.1988950276243093,0.1395348837209302,0.8853503184713376,RF,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5,31
0.935,0.9931506849315068,0.9235668789808916,0.9570957095709572,0.0232558139534883,0.0764331210191082,MLP,0.1,Clean,0.0021296739578247,50,200,,,,,31
0.225,0.5125,0.2611464968152866,0.3459915611814346,0.9069767441860463,0.7388535031847133,MLP,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,,31
0.385,0.6517857142857143,0.464968152866242,0.5427509293680297,0.9069767441860463,0.535031847133758,MLP,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,,31
0.54,0.7241379310344828,0.6687898089171974,0.695364238410596,0.9302325581395348,0.3312101910828025,MLP,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,,31
0.59,0.7388535031847133,0.7388535031847133,0.7388535031847133,0.9534883720930232,0.2611464968152866,MLP,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,,31
0.185,0.4583333333333333,0.2101910828025477,0.2882096069868995,0.9069767441860463,0.7898089171974523,MLP,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,,31
0.12,0.3389830508474576,0.1273885350318471,0.1851851851851851,0.9069767441860463,0.8726114649681529,MLP,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,,31
0.09,0.2641509433962264,0.0891719745222929,0.1333333333333333,0.9069767441860463,0.910828025477707,MLP,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,,31
0.075,0.22,0.0700636942675159,0.1062801932367149,0.9069767441860463,0.929936305732484,MLP,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,,31
0.075,0.2307692307692307,0.0764331210191082,0.1148325358851674,0.9302325581395348,0.9235668789808916,MLP,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,,31
