accuracy,precision,recall,f1,fpr,fnr,model,attack,asr,family,epsilon,iters,confidence,seed
0.1958242296220411,0.0381506783411911,0.0315289346559847,0.0345251700680272,0.6664333333333333,0.9684710653440152,LR,PGD_eps0.5_it10,0.7308958051911553,PGD,0.5,10,,42
0.0174972575541916,0.0182991572101665,0.0219271216428443,0.0199495383391059,0.9862166666666666,0.9780728783571556,SVM,PGD_eps0.5_it10,0.9070650843585396,PGD,0.5,10,,42
0.6439897373598179,0.835420719844358,0.2731646223883267,0.4117091878773352,0.0451166666666666,0.7268353776116733,RF,PGD_eps0.5_it10,0.3558470757821637,PGD,0.5,10,,42
0.0891181563511418,0.0122306914521272,0.0125042244001351,0.0123659454836775,0.84665,0.9874957755998648,MLP,PGD_eps0.5_it10,0.9105282721231516,PGD,0.5,10,,42
0.2315258877818373,0.0538091045626391,0.0413096634395562,0.0467381158556471,0.609,0.9586903365604436,LR,PGD_eps0.5_it25,0.6952122789044722,PGD,0.5,25,,42
0.0167901145027787,0.0182276131769072,0.0218674830527006,0.0198823327398758,0.9874666666666668,0.9781325169472994,SVM,PGD_eps0.5_it25,0.9077903592830656,PGD,0.5,25,,42
0.5072028865941997,0.0405711695376246,0.0035584358785758,0.0065429955222516,0.07055,0.9964415641214242,RF,PGD_eps0.5_it25,0.4926248606112254,PGD,0.5,25,,42
0.0900066181336863,0.0122160308615516,0.0124644653400393,0.0123389977270267,0.8449833333333333,0.9875355346599608,MLP,PGD_eps0.5_it25,0.9096398103406071,PGD,0.5,25,,42
0.1539486686672166,0.0226793600071011,0.0203168797089636,0.0214332151919971,0.7340166666666667,0.9796831202910364,LR,PGD_eps0.75_it10,0.7728620255115455,PGD,0.75,10,,42
0.0151310481129253,0.0146444559085387,0.0174939864421605,0.0159428954472163,0.98685,0.9825060135578396,SVM,PGD_eps0.75_it10,0.9094675575460324,PGD,0.75,10,,42
0.5645086715683164,0.7298722368687893,0.0715464286424269,0.1303182822174747,0.0222,0.9284535713575732,RF,PGD_eps0.75_it10,0.4353190756371087,PGD,0.75,10,,42
0.0506785853512597,0.0112640126473124,0.0124644653400393,0.0118338728094595,0.9172833333333332,0.9875355346599608,MLP,PGD_eps0.75_it10,0.9489678431230338,PGD,0.75,10,,42
0.153150866250238,0.0221271312329556,0.0198397709878138,0.0209211160723644,0.7350833333333333,0.980160229012186,LR,PGD_eps0.75_it25,0.7737686191672031,PGD,0.75,25,,42
0.0148137403334451,0.0139730864033042,0.0166789257101962,0.0152065756205424,0.98675,0.9833210742898038,SVM,PGD_eps0.75_it25,0.9098211290717388,PGD,0.75,25,,42
0.5501754258723698,0.6165873555404486,0.0360614675069081,0.0681378533195605,0.0188,0.963938532493092,RF,PGD_eps0.75_it25,0.4496432553964987,PGD,0.75,25,,42
0.0413134728883167,0.0110587861791629,0.0124644653400393,0.0117196261682243,0.9345,0.9875355346599608,MLP,PGD_eps0.75_it25,0.9583329555859768,PGD,0.75,25,,42
0.7041512923492561,0.6445800877135563,0.7830348090571139,0.7070935544964142,0.3619833333333333,0.2169651909428861,LR,CW_c0.0_it10,0.2219794565877628,CW,,10,0.0,42
0.482969638178472,0.4609018098968928,0.7882233663996183,0.5816768136140248,0.77295,0.2117766336003816,SVM,CW_c0.0_it10,0.4405863847764793,CW,,10,0.0,42
0.5821600500439698,0.9198884017536868,0.091763910701151,0.1668805697655501,0.0067,0.908236089298849,RF,CW_c0.0_it10,0.4176767630980118,CW,,10,0.0,42
0.0078873648042211,0.0057342517052293,0.006818678806433,0.0062296243155132,0.9912166666666666,0.993181321193567,MLP,CW_c0.0_it10,0.9919313164646474,CW,,10,0.0,42
0.6920029373634443,0.6332278171197337,0.7714848020992784,0.6955524290028587,0.3746333333333333,0.2285151979007216,LR,CW_c0.5_it10,0.234118745637018,CW,,10,0.5,42
0.4807938134048938,0.4596849792262201,0.789614933502972,0.5810840465218345,0.7781166666666667,0.210385066497028,SVM,CW_c0.5_it10,0.4427984732962838,CW,,10,0.5,42
0.5788872469470459,0.9729928799410754,0.078782577579866,0.1457628365455348,0.0018333333333333,0.921217422420134,RF,CW_c0.5_it10,0.4209314343218226,CW,,10,0.5,42
0.0054576938070587,0.004438511596863,0.0052879549927439,0.0048261409922618,0.9944,0.994712045007256,MLP,CW_c0.5_it10,0.9943700533983664,CW,,10,0.5,42
