accuracy,precision,recall,f1,fpr,fnr,model,sigma,eval_attack,smooth_s_per_sample,n0,n,family,epsilon,iters,confidence,seed
0.275,0.0625,0.029126213592233,0.0397350993377483,0.4639175257731959,0.970873786407767,LR,0.25,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,,42
0.07,0.0,0.0,0.0,0.8556701030927835,1.0,LR,0.25,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,,42
0.04,0.0,0.0,0.0,0.9175257731958762,1.0,LR,0.25,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,,42
0.705,0.6964285714285714,0.7572815533980582,0.7255813953488373,0.3505154639175257,0.2427184466019417,LR,0.25,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,,42
0.65,0.6633663366336634,0.6504854368932039,0.6568627450980392,0.3505154639175257,0.3495145631067961,LR,0.25,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,,42
0.36,0.3188405797101449,0.2135922330097087,0.2558139534883721,0.4845360824742268,0.7864077669902912,LR,0.25,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,,42
0.36,0.3076923076923077,0.1941747572815534,0.238095238095238,0.4639175257731959,0.8058252427184466,LR,0.25,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,,42
0.17,0.0,0.0,0.0,0.6494845360824743,1.0,LR,0.25,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,,42
0.225,0.0185185185185185,0.0097087378640776,0.0127388535031847,0.5463917525773195,0.9902912621359224,LR,0.25,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,,42
0.15,0.0,0.0,0.0,0.6907216494845361,1.0,LR,0.25,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,,42
0.135,0.0,0.0,0.0,0.7216494845360825,1.0,LR,0.25,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,,42
0.72,0.7079646017699115,0.7766990291262136,0.7407407407407407,0.3402061855670103,0.2233009708737864,LR,0.25,CW_c0.0_it10,,50,200,CW,,10.0,0.0,42
0.71,0.7064220183486238,0.7475728155339806,0.7264150943396226,0.3298969072164948,0.2524271844660194,LR,0.25,CW_c0.5_it10,,50,200,CW,,10.0,0.5,42
