model,attack,n,n_detected_clean,asr,fnr_under_attack,family,epsilon,iters,traffic_family,confidence
SVM,FGSM_eps0.5,849,848,1.0,1.0,FGSM,0.5,1,DoS GoldenEye - Attempted,
SVM,FGSM_eps0.5,5951,5950,1.0,1.0,FGSM,0.5,1,DoS Hulk,
SVM,FGSM_eps0.5,19,19,0.631578947368421,0.631578947368421,FGSM,0.5,1,DoS Hulk - Attempted,
SVM,FGSM_eps0.5,1713,1629,0.9993861264579497,0.9994162288382954,FGSM,0.5,1,DoS Slowloris,
SVM,FGSM_eps0.5,437,424,0.9976415094339622,0.9977116704805492,FGSM,0.5,1,DoS Slowloris - Attempted,
SVM,FGSM_eps0.5,5957,5957,0.7821050864529125,0.7821050864529125,FGSM,0.5,1,FTP-BruteForce - Attempted,
SVM,FGSM_eps0.5,47,47,0.0851063829787234,0.0851063829787234,FGSM,0.5,1,Infiltration - Communication Victim Attacker,
SVM,FGSM_eps0.5,14,1,0.0,0.14285714285714285,FGSM,0.5,1,Infiltration - Dropbox Download,
SVM,FGSM_eps0.5,2,0,,0.0,FGSM,0.5,1,Infiltration - Dropbox Download - Attempted,
SVM,FGSM_eps0.5,6072,4608,0.9520399305555556,0.9530632411067194,FGSM,0.5,1,Infiltration - NMAP Portscan,
SVM,FGSM_eps0.5,6059,6059,1.0,1.0,FGSM,0.5,1,SSH-BruteForce,
SVM,FGSM_eps0.5,27,0,,0.9629629629629629,FGSM,0.5,1,Web Attack - Brute Force,
SVM,FGSM_eps0.5,25,0,,1.0,FGSM,0.5,1,Web Attack - Brute Force - Attempted,
SVM,FGSM_eps0.5,6,0,,0.8333333333333334,FGSM,0.5,1,Web Attack - SQL,
SVM,FGSM_eps0.5,3,0,,0.3333333333333333,FGSM,0.5,1,Web Attack - SQL - Attempted,
SVM,FGSM_eps0.5,19,0,,1.0,FGSM,0.5,1,Web Attack - XSS,
SVM,FGSM_eps0.5,1,0,,0.0,FGSM,0.5,1,Web Attack - XSS - Attempted,
RF,FGSM_eps0.5,60000,0,,,FGSM,0.5,1,Benign,
