model,sample_pos,orig_test_idx,clean_correct,eligible,wall_s_measured,init_success,init_trials,init_queries,init_time_s,bsearch_queries,bsearch_time_s,gradest_queries,gradest_time_s,stepsearch_queries,stepsearch_time_s,total_queries,total_time_s,status
XGB,99,4685,True,True,0.04236610000953078,True,1,1,0.0003160999622195959,100,0.03002339997328818,445,0.007434999803081155,10,0.0033604002092033625,556,0.04113649995997548,success
LGBM,0,23309,True,True,0.06817959994077682,True,2,2,0.0010804000776261091,100,0.04419350065290928,445,0.010545400436967611,22,0.010247098980471492,569,0.06606839993037283,success
LGBM,1,69500,True,True,0.06467670015990734,True,1,1,0.00047039962373673916,100,0.045175599632784724,445,0.010678400052711368,13,0.006281400565057993,559,0.06260730000212789,success
LGBM,2,73626,True,True,0.0709822999779135,True,1,1,0.00047600013203918934,100,0.04490919969975948,445,0.010571000166237354,28,0.01303189992904663,574,0.06899000005796552,success
LGBM,3,15699,True,True,0.07076940010301769,True,7,7,0.002947000088170171,100,0.04408559971489012,445,0.01012779981829226,25,0.011774900369346142,577,0.06893730000592768,success
LGBM,4,15234,True,True,0.06831240002065897,True,3,3,0.001287700142711401,100,0.04440090013667941,445,0.010532000102102757,22,0.010279099456965923,570,0.06650159996934235,success
LGBM,5,93866,True,True,0.06840249989181757,True,9,9,0.003833899972960353,100,0.04436499951407313,445,0.010408399859443307,16,0.007984300842508674,570,0.06659359997138381,success
LGBM,6,27400,True,True,0.06404019985347986,True,1,1,0.00045619974844157696,100,0.04430680046789348,445,0.010341200279071927,15,0.007052599219605327,561,0.06215869984589517,success
LGBM,7,27888,True,True,0.06394259980879724,True,4,4,0.001701700035482645,100,0.04397760075516999,445,0.010619099950417876,12,0.005839699413627386,561,0.06213969993405044,success
LGBM,8,17259,True,True,0.06512579997070134,True,7,7,0.0031437999568879604,100,0.04389810003340244,445,0.010333799757063389,12,0.005894900299608707,564,0.06327280006371439,success
LGBM,9,61392,True,True,0.06608409993350506,True,4,4,0.0017418998759239912,100,0.044260399881750345,445,0.010327400173991919,17,0.007926000049337745,566,0.06425729999318719,success
LGBM,10,98173,True,True,0.06287309993058443,True,3,3,0.0013752998784184456,100,0.04426280036568642,445,0.010520799783989787,10,0.0048924998845905066,558,0.06105300015769899,success
LGBM,11,40308,True,True,0.06760190008208156,True,2,2,0.0009220000356435776,100,0.04383890051394701,445,0.010309699922800064,23,0.01067729969508946,570,0.06574960006400943,success
LGBM,12,9249,True,True,0.0701884999871254,True,8,8,0.0034421999007463455,100,0.04402329958975315,445,0.010397599544376135,23,0.010524900862947106,576,0.0683895000256598,success
LGBM,13,43320,True,True,0.07351429993286729,True,7,7,0.0030569001100957394,100,0.04408910032361746,445,0.01049510040320456,31,0.014088799245655537,583,0.07173159997910261,success
LGBM,14,83353,True,True,0.06524399993941188,True,1,1,0.0004453000146895647,100,0.04398640035651624,445,0.010439599631354213,18,0.008483499987050891,564,0.06335610011592507,success
LGBM,15,48736,True,True,0.06307549984194338,True,2,2,0.0009266999550163746,100,0.04444429953582585,445,0.010583499679341912,11,0.005325200734660029,558,0.061281099915504456,success
LGBM,16,55729,True,True,0.06949110003188252,True,3,3,0.0013541001826524734,100,0.04377899970859289,445,0.010396799305453897,26,0.012112800730392337,574,0.06764440005645156,success
LGBM,17,86587,True,True,0.06365310004912317,True,3,3,0.0013153997715562582,100,0.04390830034390092,445,0.010278299916535616,13,0.006186099722981453,561,0.06168980011716485,success
LGBM,18,38294,True,True,0.0646138999145478,True,1,1,0.0004482001531869173,100,0.04409589967690408,445,0.010543500073254108,16,0.00769340037368238,562,0.0627827001735568,success
LGBM,19,62715,True,True,0.06457789987325668,True,1,1,0.0004411002155393362,100,0.04442469961941242,445,0.010332800215110183,16,0.007559299934655428,562,0.06275989999994636,success
LGBM,20,48199,True,True,0.06262569990940392,True,2,2,0.0009306997526437044,100,0.044093600707128644,445,0.01040409947745502,11,0.005373199936002493,558,0.06080339988693595,success
LGBM,21,78164,True,True,0.08330269996076822,True,3,3,0.001368899829685688,100,0.0441960000898689,445,0.010162399848923087,56,0.025726100197061896,604,0.08145499997772276,success
LGBM,22,54912,True,True,0.06916920002549887,True,7,7,0.0030387002043426037,100,0.04410239960998297,445,0.010829700157046318,20,0.009375900030136108,572,0.06734890001825988,success
LGBM,23,26754,True,True,0.06364279985427856,True,4,4,0.0017961000557988882,100,0.043994400184601545,445,0.010593099752441049,11,0.005430299788713455,560,0.06181550002656877,success
LGBM,24,58306,True,True,0.06708279997110367,True,1,1,0.0004496998153626919,100,0.045388099970296025,445,0.01066609937697649,12,0.00868410081602633,558,0.06518939998932183,success
LGBM,25,100994,True,True,0.06325650005601346,True,1,1,0.0004575003404170275,100,0.04490299988538027,445,0.010598400142043829,11,0.00546339969150722,557,0.061424200190231204,success
LGBM,26,35698,True,True,0.06826309999451041,True,2,2,0.0009631002321839333,100,0.04583359998650849,445,0.011085399659350514,16,0.00854950025677681,563,0.06643300014548004,success
LGBM,27,6981,True,True,0.06890469999052584,True,6,6,0.002697400050237775,100,0.04742589988745749,445,0.011459500528872013,11,0.005485899513587356,562,0.06707029999233782,success
LGBM,28,98071,True,True,0.0718568000011146,True,4,4,0.001818999880924821,100,0.048177000135183334,445,0.011229300172999501,16,0.008759599644690752,565,0.06998639996163547,success
LGBM,29,26331,True,True,0.06313000014051795,True,3,3,0.0012868000194430351,100,0.04398660035803914,445,0.010580499889329076,11,0.0052821997087448835,559,0.06113779987208545,success
LGBM,30,94388,True,True,0.06566709978505969,True,1,1,0.0004517999477684498,100,0.04718579980544746,445,0.011114699766039848,10,0.005083500407636166,556,0.06383729982189834,success
LGBM,31,16592,True,True,0.07737770001403987,True,5,5,0.002247600117698312,100,0.04424680024385452,445,0.01078609935939312,40,0.018288600258529186,590,0.07557089999318123,success
LGBM,32,87537,True,True,0.06325490004383028,True,2,2,0.0009623998776078224,100,0.04427849990315735,445,0.010790100088343024,11,0.0054090002086013556,558,0.061441799858585,success
LGBM,33,46627,True,True,0.06546010007150471,True,1,1,0.0004584002308547497,100,0.04440080025233328,445,0.010675099678337574,17,0.008015899918973446,563,0.06355180009268224,success
LGBM,34,90045,True,True,0.07016890007071197,True,6,6,0.0028363000601530075,100,0.04594490001909435,445,0.010626100236549973,18,0.00853039976209402,569,0.06793969986028969,success
LGBM,35,69937,True,True,0.06432010000571609,True,1,1,0.00045519997365772724,100,0.045599299715831876,445,0.010794500121846795,11,0.005659600254148245,557,0.06251019984483719,success
LGBM,36,81317,True,True,0.06847189995460212,True,3,3,0.0013468998949974775,100,0.044330500066280365,445,0.010652000084519386,22,0.010334699647501111,570,0.06666589993983507,success
LGBM,37,48652,True,True,0.07059570006094873,True,3,3,0.00135310017503798,100,0.0462952998932451,445,0.011305899824947119,20,0.009819800034165382,568,0.06877609994262457,success
LGBM,38,35880,True,True,0.06662259995937347,True,1,1,0.00048399996012449265,100,0.044456600211560726,445,0.010531899984925985,19,0.008931099902838469,565,0.06440549995750189,success
LGBM,39,9859,True,True,0.06472570006735623,True,1,1,0.0004366000648587942,100,0.04443780006840825,445,0.010831499705091119,15,0.007224300177767873,561,0.0629321001470089,success
LGBM,40,92572,True,True,0.06341709988191724,True,2,2,0.0009430998470634222,100,0.04443750041536987,445,0.010701899416744709,11,0.0054293000139296055,558,0.06151359993964434,success
LGBM,41,47974,True,True,0.07630839990451932,True,5,5,0.0021556997671723366,100,0.044358500046655536,445,0.01054069958627224,37,0.017339200479909778,587,0.07439600001089275,success
LGBM,42,100916,True,True,0.06960340007208288,True,13,13,0.005493899807333946,100,0.04550040024332702,445,0.010751199908554554,12,0.005872499896213412,570,0.0676196999847889,success
LGBM,43,103584,True,True,0.06955899996683002,True,1,1,0.00043909973464906216,100,0.04401249997317791,445,0.010520899901166558,27,0.01269360026344657,573,0.06766809988766909,success
LGBM,44,59470,True,True,0.06239500013180077,True,2,2,0.0008655998390167952,100,0.0440460997633636,445,0.010699599515646696,10,0.004913300974294543,557,0.06052660010755062,success
LGBM,45,5298,True,True,0.0634178000036627,True,2,2,0.0008688000962138176,100,0.04424049984663725,445,0.01033529988490045,13,0.0061274003237485886,560,0.061573800165206194,success
LGBM,46,67260,True,True,0.06305109988898039,True,2,2,0.0008618999272584915,100,0.04483180004172027,445,0.010574499377980828,10,0.004966400563716888,557,0.06123660015873611,success
LGBM,47,16513,True,True,0.07115380000323057,True,1,1,0.0004422999918460846,100,0.045408200239762664,445,0.010597499553114176,27,0.01288290019147098,573,0.06933269998989999,success
LGBM,48,85738,True,True,0.07474509999155998,True,4,4,0.002067900262773037,100,0.04641870013438165,445,0.011372300330549479,26,0.013038599397987127,575,0.07289930013939738,success
LGBM,49,19466,True,True,0.06819889997132123,True,2,2,0.0008775000460445881,100,0.04730639955960214,445,0.01092030038125813,15,0.007296000141650438,562,0.06640220014378428,success
LGBM,50,196,True,True,0.061777800088748336,True,1,1,0.00044470024295151234,100,0.044329599710181355,445,0.010409400099888444,10,0.004783899988979101,556,0.0599696000572294,success
LGBM,51,72529,True,True,0.062252100091427565,True,1,1,0.0004379998426884413,100,0.04442300018854439,445,0.010710200062021613,10,0.004861299879848957,556,0.06043409998528659,success
LGBM,52,97707,True,True,0.06483669998124242,True,1,1,0.00043959985487163067,100,0.04633579961955547,445,0.010582400020211935,11,0.005681600421667099,557,0.063041300047189,success
LGBM,53,53379,True,True,0.06288570002652705,True,1,1,0.00046309991739690304,100,0.04431609995663166,445,0.011290299706161022,10,0.004943400388583541,556,0.061014699982479215,success
LGBM,54,3886,True,True,0.0664522999431938,True,1,1,0.00043879984878003597,100,0.043905699625611305,445,0.010541100287809968,21,0.009765800088644028,567,0.0646532999817282,success
LGBM,55,100383,True,True,0.06664380012080073,True,1,1,0.00044150021858513355,100,0.0445973000023514,445,0.010468699969351292,20,0.00932519999332726,566,0.06483469996601343,success
LGBM,56,101125,True,True,0.06296169990673661,True,2,2,0.0008857001084834337,100,0.04384609987027943,445,0.010499299736693501,12,0.0057793003506958485,559,0.061011800076812506,success
