accuracy,precision,recall,f1,fpr,fnr,model,sigma,eval_attack,smooth_s_per_sample,n0,n,family,epsilon,iters,confidence,seed
0.19,0.0813953488372093,0.7777777777777778,0.1473684210526315,0.8681318681318682,0.2222222222222222,LR,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,,99
0.185,0.0809248554913294,0.7777777777777778,0.1465968586387434,0.8736263736263736,0.2222222222222222,LR,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,,99
0.17,0.0647058823529411,0.6111111111111112,0.1170212765957446,0.8736263736263736,0.3888888888888889,LR,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,,99
0.165,0.059171597633136,0.5555555555555556,0.106951871657754,0.8736263736263736,0.4444444444444444,LR,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,,99
0.14,0.036144578313253,0.3333333333333333,0.0652173913043478,0.8791208791208791,0.6666666666666666,LR,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,,99
0.145,0.0419161676646706,0.3888888888888889,0.0756756756756756,0.8791208791208791,0.6111111111111112,LR,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,,99
0.14,0.036144578313253,0.3333333333333333,0.0652173913043478,0.8791208791208791,0.6666666666666666,LR,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,,99
0.145,0.0363636363636363,0.3333333333333333,0.0655737704918032,0.8736263736263736,0.6666666666666666,LR,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,,99
0.23,0.0405405405405405,0.3333333333333333,0.072289156626506,0.7802197802197802,0.6666666666666666,LR,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0,99
0.135,0.0359281437125748,0.3333333333333333,0.0648648648648648,0.8846153846153846,0.6666666666666666,LR,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5,99
0.88,0.4,0.6666666666666666,0.5,0.0989010989010989,0.3333333333333333,SVM,0.1,Clean,0.0001185035705566,50,200,,,,,99
0.15,0.0365853658536585,0.3333333333333333,0.0659340659340659,0.8681318681318682,0.6666666666666666,SVM,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,,99
0.15,0.0365853658536585,0.3333333333333333,0.0659340659340659,0.8681318681318682,0.6666666666666666,SVM,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,,99
0.15,0.0365853658536585,0.3333333333333333,0.0659340659340659,0.8681318681318682,0.6666666666666666,SVM,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,,99
0.15,0.0365853658536585,0.3333333333333333,0.0659340659340659,0.8681318681318682,0.6666666666666666,SVM,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,,99
0.145,0.0363636363636363,0.3333333333333333,0.0655737704918032,0.8736263736263736,0.6666666666666666,SVM,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,,99
0.145,0.0363636363636363,0.3333333333333333,0.0655737704918032,0.8736263736263736,0.6666666666666666,SVM,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,,99
0.145,0.0363636363636363,0.3333333333333333,0.0655737704918032,0.8736263736263736,0.6666666666666666,SVM,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,,99
0.145,0.0363636363636363,0.3333333333333333,0.0655737704918032,0.8736263736263736,0.6666666666666666,SVM,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,,99
0.14,0.036144578313253,0.3333333333333333,0.0652173913043478,0.8791208791208791,0.6666666666666666,SVM,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,,99
