accuracy,precision,recall,f1,fpr,fnr,model,sigma,eval_attack,smooth_s_per_sample,n0,n,family,epsilon,iters,confidence
0.105,0.038461538461538464,0.04819277108433735,0.0427807486631016,0.8547008547008547,0.9518072289156626,LR,0.5,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.07,0.018691588785046728,0.024096385542168676,0.021052631578947368,0.8974358974358975,0.9759036144578314,LR,0.5,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.065,0.009433962264150943,0.012048192771084338,0.010582010582010581,0.8974358974358975,0.9879518072289156,LR,0.5,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.06,0.009345794392523364,0.012048192771084338,0.010526315789473684,0.905982905982906,0.9879518072289156,LR,0.5,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.105,0.04716981132075472,0.060240963855421686,0.05291005291005291,0.8632478632478633,0.9397590361445783,LR,0.5,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.165,0.043478260869565216,0.04819277108433735,0.045714285714285714,0.7521367521367521,0.9518072289156626,LR,0.5,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.055,0.01818181818181818,0.024096385542168676,0.02072538860103627,0.9230769230769231,0.9759036144578314,LR,0.5,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.06,0.01834862385321101,0.024096385542168676,0.020833333333333332,0.9145299145299145,0.9759036144578314,LR,0.5,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.03,0.008849557522123894,0.012048192771084338,0.01020408163265306,0.9572649572649573,0.9879518072289156,LR,0.5,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.045,0.00909090909090909,0.012048192771084338,0.010362694300518135,0.9316239316239316,0.9879518072289156,LR,0.5,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
0.045,0.00909090909090909,0.012048192771084338,0.010362694300518135,0.9316239316239316,0.9879518072289156,LR,0.5,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,
0.035,0.008928571428571428,0.012048192771084338,0.010256410256410256,0.9487179487179487,0.9879518072289156,LR,0.5,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,
0.28,0.2867132867132867,0.4939759036144578,0.36283185840707965,0.8717948717948718,0.5060240963855421,LR,0.5,CW_c0.0_it10,,50,200,CW,,10.0,0.0
0.285,0.2826086956521739,0.46987951807228917,0.35294117647058826,0.8461538461538461,0.5301204819277109,LR,0.5,CW_c0.5_it10,,50,200,CW,,10.0,0.5
0.94,0.9493670886075949,0.9036144578313253,0.9259259259259259,0.03418803418803419,0.0963855421686747,SVM,0.5,Clean,0.0001694798469543457,50,200,,,,
0.365,0.25,0.26506024096385544,0.2573099415204678,0.5641025641025641,0.7349397590361446,SVM,0.5,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.045,0.017857142857142856,0.024096385542168676,0.020512820512820513,0.9401709401709402,0.9759036144578314,SVM,0.5,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.025,0.017241379310344827,0.024096385542168676,0.020100502512562814,0.9743589743589743,0.9759036144578314,SVM,0.5,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.015,0.01694915254237288,0.024096385542168676,0.01990049751243781,0.9914529914529915,0.9759036144578314,SVM,0.5,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.33,0.17721518987341772,0.1686746987951807,0.1728395061728395,0.5555555555555556,0.8313253012048193,SVM,0.5,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.34,0.13432835820895522,0.10843373493975904,0.12,0.49572649572649574,0.891566265060241,SVM,0.5,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.125,0.030612244897959183,0.03614457831325301,0.03314917127071823,0.811965811965812,0.963855421686747,SVM,0.5,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.135,0.05,0.060240963855421686,0.0546448087431694,0.811965811965812,0.9397590361445783,SVM,0.5,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
