accuracy,precision,recall,f1,fpr,fnr,model,sigma,eval_attack,smooth_s_per_sample,n0,n,family,epsilon,iters,confidence
0.895,0.95,0.9047619047619048,0.926829268292683,0.1320754716981132,0.09523809523809523,SVM,0.25,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.885,0.9492753623188406,0.891156462585034,0.9192982456140351,0.1320754716981132,0.10884353741496598,SVM,0.25,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.885,0.9558823529411765,0.8843537414965986,0.9187279151943463,0.11320754716981132,0.11564625850340136,SVM,0.25,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.89,0.9562043795620438,0.891156462585034,0.9225352112676056,0.11320754716981132,0.10884353741496598,SVM,0.25,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
0.86,0.9473684210526315,0.8571428571428571,0.9,0.1320754716981132,0.14285714285714285,SVM,0.25,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,
0.875,0.9420289855072463,0.8843537414965986,0.9122807017543859,0.1509433962264151,0.11564625850340136,SVM,0.25,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,
0.915,0.9577464788732394,0.9251700680272109,0.9411764705882353,0.11320754716981132,0.07482993197278912,SVM,0.25,CW_c0.0_it10,,50,200,CW,,10.0,0.0
0.91,0.951048951048951,0.9251700680272109,0.9379310344827586,0.1320754716981132,0.07482993197278912,SVM,0.25,CW_c0.5_it10,,50,200,CW,,10.0,0.5
0.325,1.0,0.08163265306122448,0.1509433962264151,0.0,0.9183673469387755,RF,0.25,Clean,0.0053932154178619384,50,200,,,,
0.215,0.14285714285714285,0.013605442176870748,0.024844720496894408,0.22641509433962265,0.9863945578231292,RF,0.25,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.18,0.18518518518518517,0.034013605442176874,0.05747126436781609,0.41509433962264153,0.9659863945578231,RF,0.25,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.365,0.65625,0.2857142857142857,0.3981042654028436,0.41509433962264153,0.7142857142857143,RF,0.25,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.415,0.6973684210526315,0.36054421768707484,0.47533632286995514,0.4339622641509434,0.6394557823129252,RF,0.25,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.215,0.0,0.0,0.0,0.18867924528301888,1.0,RF,0.25,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.2,0.0,0.0,0.0,0.24528301886792453,1.0,RF,0.25,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.19,0.058823529411764705,0.006802721088435374,0.012195121951219513,0.3018867924528302,0.9931972789115646,RF,0.25,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.19,0.0,0.0,0.0,0.2830188679245283,1.0,RF,0.25,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.23,0.3870967741935484,0.08163265306122448,0.1348314606741573,0.3584905660377358,0.9183673469387755,RF,0.25,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.205,0.25,0.04081632653061224,0.07017543859649122,0.33962264150943394,0.9591836734693877,RF,0.25,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
0.215,0.35294117647058826,0.08163265306122448,0.13259668508287292,0.41509433962264153,0.9183673469387755,RF,0.25,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,
0.23,0.3793103448275862,0.07482993197278912,0.125,0.33962264150943394,0.9251700680272109,RF,0.25,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,
0.255,0.375,0.02040816326530612,0.03870967741935484,0.09433962264150944,0.9795918367346939,RF,0.25,CW_c0.0_it10,,50,200,CW,,10.0,0.0
0.235,0.0,0.0,0.0,0.11320754716981132,1.0,RF,0.25,CW_c0.5_it10,,50,200,CW,,10.0,0.5
0.935,0.971830985915493,0.9387755102040817,0.9550173010380623,0.07547169811320754,0.061224489795918366,MLP,0.25,Clean,0.002373255491256714,50,200,,,,
0.09,0.19298245614035087,0.07482993197278912,0.10784313725490197,0.8679245283018868,0.9251700680272109,MLP,0.25,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.07,0.1694915254237288,0.06802721088435375,0.0970873786407767,0.9245283018867925,0.9319727891156463,MLP,0.25,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.115,0.2857142857142857,0.1360544217687075,0.18433179723502305,0.9433962264150944,0.8639455782312925,MLP,0.25,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.125,0.3055555555555556,0.14965986394557823,0.2009132420091324,0.9433962264150944,0.8503401360544217,MLP,0.25,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.37,0.5929203539823009,0.4557823129251701,0.5153846153846153,0.8679245283018868,0.54421768707483,MLP,0.25,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.265,0.5,0.3129251700680272,0.38493723849372385,0.8679245283018868,0.6870748299319728,MLP,0.25,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.07,0.18032786885245902,0.07482993197278912,0.10576923076923077,0.9433962264150944,0.9251700680272109,MLP,0.25,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.055,0.13793103448275862,0.05442176870748299,0.07804878048780488,0.9433962264150944,0.9455782312925171,MLP,0.25,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.035,0.07407407407407407,0.027210884353741496,0.03980099502487562,0.9433962264150944,0.9727891156462585,MLP,0.25,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.035,0.07407407407407407,0.027210884353741496,0.03980099502487562,0.9433962264150944,0.9727891156462585,MLP,0.25,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
0.025,0.07142857142857142,0.027210884353741496,0.03940886699507389,0.9811320754716981,0.9727891156462585,MLP,0.25,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,
0.025,0.07142857142857142,0.027210884353741496,0.03940886699507389,0.9811320754716981,0.9727891156462585,MLP,0.25,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,
0.685,0.7441860465116279,0.8707482993197279,0.8025078369905956,0.8301886792452831,0.1292517006802721,MLP,0.25,CW_c0.0_it10,,50,200,CW,,10.0,0.0
0.66,0.7393939393939394,0.8299319727891157,0.782051282051282,0.8113207547169812,0.17006802721088435,MLP,0.25,CW_c0.5_it10,,50,200,CW,,10.0,0.5
0.915,0.9513888888888888,0.9319727891156463,0.9415807560137457,0.1320754716981132,0.06802721088435375,LR,0.5,Clean,0.0001533651351928711,50,200,,,,
0.86,0.9473684210526315,0.8571428571428571,0.9,0.1320754716981132,0.14285714285714285,LR,0.5,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.835,0.9384615384615385,0.8299319727891157,0.8808664259927798,0.1509433962264151,0.17006802721088435,LR,0.5,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.78,0.9256198347107438,0.7619047619047619,0.835820895522388,0.16981132075471697,0.23809523809523808,LR,0.5,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.75,0.9145299145299145,0.7278911564625851,0.8106060606060606,0.18867924528301888,0.272108843537415,LR,0.5,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.905,0.9444444444444444,0.9251700680272109,0.9347079037800687,0.1509433962264151,0.07482993197278912,LR,0.5,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.91,0.9448275862068966,0.9319727891156463,0.9383561643835616,0.1509433962264151,0.06802721088435375,LR,0.5,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.9,0.9379310344827586,0.9251700680272109,0.9315068493150684,0.16981132075471697,0.07482993197278912,LR,0.5,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.9,0.9440559440559441,0.9183673469387755,0.9310344827586207,0.1509433962264151,0.08163265306122448,LR,0.5,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.885,0.9428571428571428,0.8979591836734694,0.9198606271777003,0.1509433962264151,0.10204081632653061,LR,0.5,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.875,0.9420289855072463,0.8843537414965986,0.9122807017543859,0.1509433962264151,0.11564625850340136,LR,0.5,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
0.865,0.9347826086956522,0.8775510204081632,0.9052631578947369,0.16981132075471697,0.12244897959183673,LR,0.5,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,
0.87,0.9481481481481482,0.8707482993197279,0.9078014184397163,0.1320754716981132,0.1292517006802721,LR,0.5,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,
0.91,0.951048951048951,0.9251700680272109,0.9379310344827586,0.1320754716981132,0.07482993197278912,LR,0.5,CW_c0.0_it10,,50,200,CW,,10.0,0.0
0.905,0.9444444444444444,0.9251700680272109,0.9347079037800687,0.1509433962264151,0.07482993197278912,LR,0.5,CW_c0.5_it10,,50,200,CW,,10.0,0.5
0.915,0.9577464788732394,0.9251700680272109,0.9411764705882353,0.11320754716981132,0.07482993197278912,SVM,0.5,Clean,0.00015412211418151854,50,200,,,,
0.915,0.9577464788732394,0.9251700680272109,0.9411764705882353,0.11320754716981132,0.07482993197278912,SVM,0.5,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.82,0.944,0.8027210884353742,0.8676470588235294,0.1320754716981132,0.19727891156462585,SVM,0.5,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.82,0.944,0.8027210884353742,0.8676470588235294,0.1320754716981132,0.19727891156462585,SVM,0.5,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.815,0.9365079365079365,0.8027210884353742,0.8644688644688645,0.1509433962264151,0.19727891156462585,SVM,0.5,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.91,0.9448275862068966,0.9319727891156463,0.9383561643835616,0.1509433962264151,0.06802721088435375,SVM,0.5,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.905,0.9444444444444444,0.9251700680272109,0.9347079037800687,0.1509433962264151,0.07482993197278912,SVM,0.5,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.885,0.9428571428571428,0.8979591836734694,0.9198606271777003,0.1509433962264151,0.10204081632653061,SVM,0.5,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.885,0.9492753623188406,0.891156462585034,0.9192982456140351,0.1320754716981132,0.10884353741496598,SVM,0.5,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.87,0.9481481481481482,0.8707482993197279,0.9078014184397163,0.1320754716981132,0.1292517006802721,SVM,0.5,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.88,0.9424460431654677,0.891156462585034,0.916083916083916,0.1509433962264151,0.10884353741496598,SVM,0.5,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
0.855,0.946969696969697,0.8503401360544217,0.8960573476702509,0.1320754716981132,0.14965986394557823,SVM,0.5,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,
0.87,0.9416058394160584,0.8775510204081632,0.9084507042253521,0.1509433962264151,0.12244897959183673,SVM,0.5,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,
0.915,0.9577464788732394,0.9251700680272109,0.9411764705882353,0.11320754716981132,0.07482993197278912,SVM,0.5,CW_c0.0_it10,,50,200,CW,,10.0,0.0
0.91,0.951048951048951,0.9251700680272109,0.9379310344827586,0.1320754716981132,0.07482993197278912,SVM,0.5,CW_c0.5_it10,,50,200,CW,,10.0,0.5
0.28,1.0,0.02040816326530612,0.04,0.0,0.9795918367346939,RF,0.5,Clean,0.005366284847259522,50,200,,,,
0.23,0.0,0.0,0.0,0.1320754716981132,1.0,RF,0.5,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.215,0.1875,0.02040816326530612,0.03680981595092025,0.24528301886792453,0.9795918367346939,RF,0.5,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.185,0.21428571428571427,0.04081632653061224,0.06857142857142857,0.41509433962264153,0.9591836734693877,RF,0.5,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.235,0.42105263157894735,0.10884353741496598,0.17297297297297298,0.41509433962264153,0.891156462585034,RF,0.5,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.225,0.0,0.0,0.0,0.1509433962264151,1.0,RF,0.5,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.225,0.0,0.0,0.0,0.1509433962264151,1.0,RF,0.5,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.2,0.06666666666666667,0.006802721088435374,0.012345679012345678,0.2641509433962264,0.9931972789115646,RF,0.5,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.195,0.0,0.0,0.0,0.2641509433962264,1.0,RF,0.5,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.195,0.0,0.0,0.0,0.2641509433962264,1.0,RF,0.5,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.215,0.2222222222222222,0.027210884353741496,0.048484848484848485,0.2641509433962264,0.9727891156462585,RF,0.5,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
0.195,0.18181818181818182,0.027210884353741496,0.047337278106508875,0.33962264150943394,0.9727891156462585,RF,0.5,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,
0.21,0.2608695652173913,0.04081632653061224,0.07058823529411765,0.32075471698113206,0.9591836734693877,RF,0.5,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,
