model,attack,n,n_detected_clean,asr,fnr_under_attack,family,epsilon,iters,traffic_family,confidence
MLP,FGSM_eps0.75,4032,3034,0.6793012524719841,0.7256944444444444,FGSM,0.75,1,ddos,
MLP,FGSM_eps0.75,3977,3936,0.9979674796747967,0.9929595172240382,FGSM,0.75,1,dos,
MLP,FGSM_eps0.75,3898,3880,0.525,0.5256541816316059,FGSM,0.75,1,injection,
MLP,FGSM_eps0.75,200,163,0.9141104294478528,0.775,FGSM,0.75,1,mitm,
MLP,FGSM_eps0.75,10000,0,,,FGSM,0.75,1,normal,
MLP,FGSM_eps0.75,4008,4002,0.49775112443778113,0.4972554890219561,FGSM,0.75,1,password,
MLP,FGSM_eps0.75,4083,4039,0.8524387224560535,0.8483957874112172,FGSM,0.75,1,ransomware,
MLP,FGSM_eps0.75,4043,3980,0.4914572864321608,0.49666089537472174,FGSM,0.75,1,scanning,
MLP,FGSM_eps0.75,3858,3821,0.533891651400157,0.5300673924313115,FGSM,0.75,1,xss,
LR,PGD_eps0.15_it10,4110,4108,0.5143622200584226,0.5143552311435523,PGD,0.15,10,backdoor,
LR,PGD_eps0.15_it10,4032,2966,0.0077545515846257585,0.16567460317460317,PGD,0.15,10,ddos,
LR,PGD_eps0.15_it10,3977,3494,0.0008586147681740126,0.12069399044505909,PGD,0.15,10,dos,
LR,PGD_eps0.15_it10,3898,3757,0.0,0.035659312467932275,PGD,0.15,10,injection,
LR,PGD_eps0.15_it10,200,77,0.012987012987012988,0.615,PGD,0.15,10,mitm,
LR,PGD_eps0.15_it10,10000,0,,,PGD,0.15,10,normal,
LR,PGD_eps0.15_it10,4008,3972,0.028700906344410877,0.0374251497005988,PGD,0.15,10,password,
LR,PGD_eps0.15_it10,4083,3445,0.40638606676342526,0.48273328434974283,PGD,0.15,10,ransomware,
LR,PGD_eps0.15_it10,4043,3691,0.14332159306421025,0.2139500371011625,PGD,0.15,10,scanning,
LR,PGD_eps0.15_it10,3858,3600,0.005555555555555556,0.07153965785381027,PGD,0.15,10,xss,
SVM,PGD_eps0.15_it10,4110,4109,0.0,0.00024330900243309004,PGD,0.15,10,backdoor,
SVM,PGD_eps0.15_it10,4032,2966,0.039447066756574514,0.20014880952380953,PGD,0.15,10,ddos,
SVM,PGD_eps0.15_it10,3977,3494,0.0011448196908986834,0.11792808649735982,PGD,0.15,10,dos,
SVM,PGD_eps0.15_it10,3898,3757,0.0013308490817141336,0.03694202154951257,PGD,0.15,10,injection,
SVM,PGD_eps0.15_it10,200,77,0.012987012987012988,0.61,PGD,0.15,10,mitm,
SVM,PGD_eps0.15_it10,10000,0,,,PGD,0.15,10,normal,
SVM,PGD_eps0.15_it10,4008,3971,0.009065726517250064,0.017964071856287425,PGD,0.15,10,password,
SVM,PGD_eps0.15_it10,4083,3433,0.16428779493154674,0.2973303943179035,PGD,0.15,10,ransomware,
SVM,PGD_eps0.15_it10,4043,3698,0.09762033531638724,0.16967598318080634,PGD,0.15,10,scanning,
SVM,PGD_eps0.15_it10,3858,3593,0.0030615084887280824,0.07128045619491964,PGD,0.15,10,xss,
RF,PGD_eps0.15_it10,4110,4110,0.881021897810219,0.881021897810219,PGD,0.15,10,backdoor,
RF,PGD_eps0.15_it10,4032,4015,0.9496886674968866,0.9489087301587301,PGD,0.15,10,ddos,
RF,PGD_eps0.15_it10,3977,3971,0.9894233190632082,0.9886849383957758,PGD,0.15,10,dos,
RF,PGD_eps0.15_it10,3898,3897,0.9089042853477034,0.9086711133914828,PGD,0.15,10,injection,
RF,PGD_eps0.15_it10,200,194,0.8247422680412371,0.82,PGD,0.15,10,mitm,
RF,PGD_eps0.15_it10,10000,0,,,PGD,0.15,10,normal,
RF,PGD_eps0.15_it10,4008,4007,0.9119041677065136,0.9116766467065869,PGD,0.15,10,password,
RF,PGD_eps0.15_it10,4083,4083,0.8584374234631399,0.8584374234631399,PGD,0.15,10,ransomware,
RF,PGD_eps0.15_it10,4043,4043,0.9342072718278506,0.9342072718278506,PGD,0.15,10,scanning,
RF,PGD_eps0.15_it10,3858,3855,0.9369649805447471,0.9367547952306895,PGD,0.15,10,xss,
MLP,PGD_eps0.15_it10,4110,4109,0.9992698953516671,0.9990267639902677,PGD,0.15,10,backdoor,
MLP,PGD_eps0.15_it10,4032,3034,0.9911008569545154,0.7631448412698413,PGD,0.15,10,ddos,
MLP,PGD_eps0.15_it10,3977,3936,1.0,0.9909479507166206,PGD,0.15,10,dos,
MLP,PGD_eps0.15_it10,3898,3880,0.9878865979381444,0.9835813237557722,PGD,0.15,10,injection,
MLP,PGD_eps0.15_it10,200,163,0.9754601226993865,0.82,PGD,0.15,10,mitm,
MLP,PGD_eps0.15_it10,10000,0,,,PGD,0.15,10,normal,
MLP,PGD_eps0.15_it10,4008,4002,0.9947526236881559,0.9932634730538922,PGD,0.15,10,password,
MLP,PGD_eps0.15_it10,4083,4039,0.9888586283733597,0.9833455792309577,PGD,0.15,10,ransomware,
MLP,PGD_eps0.15_it10,4043,3980,0.9668341708542714,0.9532525352461044,PGD,0.15,10,scanning,
MLP,PGD_eps0.15_it10,3858,3821,0.9984297304370584,0.9888543286677035,PGD,0.15,10,xss,
LR,PGD_eps0.15_it25,4110,4108,0.5143622200584226,0.5143552311435523,PGD,0.15,25,backdoor,
LR,PGD_eps0.15_it25,4032,2966,0.0077545515846257585,0.23115079365079366,PGD,0.15,25,ddos,
LR,PGD_eps0.15_it25,3977,3494,0.0005724098454493417,0.11943676137792306,PGD,0.15,25,dos,
LR,PGD_eps0.15_it25,3898,3757,0.0005323396326856535,0.03514622883530016,PGD,0.15,25,injection,
LR,PGD_eps0.15_it25,200,77,0.0,0.61,PGD,0.15,25,mitm,
LR,PGD_eps0.15_it25,10000,0,,,PGD,0.15,25,normal,
LR,PGD_eps0.15_it25,4008,3972,0.031973816717019134,0.0406686626746507,PGD,0.15,25,password,
LR,PGD_eps0.15_it25,4083,3445,0.27692307692307694,0.3899093803575802,PGD,0.15,25,ransomware,
LR,PGD_eps0.15_it25,4043,3691,0.11622866431861284,0.19020529309918377,PGD,0.15,25,scanning,
LR,PGD_eps0.15_it25,3858,3600,0.005555555555555556,0.07179885951270087,PGD,0.15,25,xss,
SVM,PGD_eps0.15_it25,4110,4109,0.0,0.00024330900243309004,PGD,0.15,25,backdoor,
SVM,PGD_eps0.15_it25,4032,2966,0.019892110586648686,0.2614087301587302,PGD,0.15,25,ddos,
SVM,PGD_eps0.15_it25,3977,3494,0.0011448196908986834,0.11667085743022379,PGD,0.15,25,dos,
SVM,PGD_eps0.15_it25,3898,3757,0.02262443438914027,0.056952283222165216,PGD,0.15,25,injection,
SVM,PGD_eps0.15_it25,200,77,0.0,0.61,PGD,0.15,25,mitm,
SVM,PGD_eps0.15_it25,10000,0,,,PGD,0.15,25,normal,
SVM,PGD_eps0.15_it25,4008,3971,0.03500377738604885,0.043912175648702596,PGD,0.15,25,password,
SVM,PGD_eps0.15_it25,4083,3433,0.10777745412175939,0.24981631153563555,PGD,0.15,25,ransomware,
SVM,PGD_eps0.15_it25,4043,3698,0.08491076257436452,0.16151372743012615,PGD,0.15,25,scanning,
SVM,PGD_eps0.15_it25,3858,3593,0.002226551628165878,0.0705028512182478,PGD,0.15,25,xss,
RF,PGD_eps0.15_it25,4110,4110,0.9992700729927008,0.9992700729927008,PGD,0.15,25,backdoor,
RF,PGD_eps0.15_it25,4032,4015,0.9892901618929016,0.9885912698412699,PGD,0.15,25,ddos,
RF,PGD_eps0.15_it25,3977,3971,0.9929488793754722,0.9922051797837566,PGD,0.15,25,dos,
RF,PGD_eps0.15_it25,3898,3897,0.9984603541185527,0.9984607491021037,PGD,0.15,25,injection,
RF,PGD_eps0.15_it25,200,194,0.8402061855670103,0.83,PGD,0.15,25,mitm,
RF,PGD_eps0.15_it25,10000,0,,,PGD,0.15,25,normal,
RF,PGD_eps0.15_it25,4008,4007,0.9992513102071375,0.999001996007984,PGD,0.15,25,password,
RF,PGD_eps0.15_it25,4083,4083,0.9921626255204506,0.9921626255204506,PGD,0.15,25,ransomware,
RF,PGD_eps0.15_it25,4043,4043,0.9886223101657186,0.9886223101657186,PGD,0.15,25,scanning,
RF,PGD_eps0.15_it25,3858,3855,0.9891050583657588,0.9888543286677035,PGD,0.15,25,xss,
MLP,PGD_eps0.15_it25,4110,4109,0.5220248235580434,0.5218978102189781,PGD,0.15,25,backdoor,
MLP,PGD_eps0.15_it25,4032,3034,0.8796967699406724,0.6917162698412699,PGD,0.15,25,ddos,
MLP,PGD_eps0.15_it25,3977,3936,0.9997459349593496,0.9904450590897661,PGD,0.15,25,dos,
MLP,PGD_eps0.15_it25,3898,3880,0.9963917525773196,0.9917906618778861,PGD,0.15,25,injection,
MLP,PGD_eps0.15_it25,200,163,0.9754601226993865,0.82,PGD,0.15,25,mitm,
MLP,PGD_eps0.15_it25,10000,0,,,PGD,0.15,25,normal,
MLP,PGD_eps0.15_it25,4008,4002,0.9112943528235882,0.9099301397205589,PGD,0.15,25,password,
MLP,PGD_eps0.15_it25,4083,4039,0.9896013864818024,0.9840803330884154,PGD,0.15,25,ransomware,
MLP,PGD_eps0.15_it25,4043,3980,0.942713567839196,0.9290131090774177,PGD,0.15,25,scanning,
MLP,PGD_eps0.15_it25,3858,3821,0.9918869405914682,0.9823742871954381,PGD,0.15,25,xss,
LR,PGD_eps0.3_it10,4110,4108,0.9917234664070107,0.9914841849148418,PGD,0.3,10,backdoor,
LR,PGD_eps0.3_it10,4032,2966,0.05124747134187458,0.20684523809523808,PGD,0.3,10,ddos,
