accuracy,precision,recall,f1,fpr,fnr,model,defense_attack,ratio,eval_attack,adv_train_s,family,epsilon,iters,confidence,retrain_s
0.5427050941497511,0.375,0.004115062719917301,0.008140792449120048,0.00575,0.9958849372800826,RF,FGSM,0.3,FGSM_eps0.75,,FGSM,0.75,1,,32.33209776878357
0.7949919766461474,0.9994228410648582,0.5507822595073852,0.7101826337712271,0.0002666666666666667,0.44921774049261476,RF,FGSM,0.3,PGD_eps0.15_it10,,PGD,0.15,10,,32.33209776878357
0.8076026943963446,0.9994161085351193,0.5784545653340755,0.7327809816414415,0.00028333333333333335,0.4215454346659245,RF,FGSM,0.3,PGD_eps0.15_it25,,PGD,0.15,25,,32.33209776878357
0.770776860103533,0.9983268932000159,0.4982009025306642,0.6646951170994351,0.0007,0.5017990974693358,RF,FGSM,0.3,PGD_eps0.3_it10,,PGD,0.3,10,,32.33209776878357
0.7967598342746798,0.9992480395316361,0.5547581655169672,0.7134347437044612,0.00035,0.44524183448303284,RF,FGSM,0.3,PGD_eps0.3_it25,,PGD,0.3,25,,32.33209776878357
0.5233946492842443,0.3007029876977153,0.03401387591197344,0.06111478220491847,0.06631666666666666,0.9659861240880265,RF,FGSM,0.3,PGD_eps0.5_it10,,PGD,0.5,10,,32.33209776878357
0.5529677343317951,0.681784930504755,0.03705544400930362,0.070290551878877,0.0145,0.9629445559906964,RF,FGSM,0.3,PGD_eps0.5_it25,,PGD,0.5,25,,32.33209776878357
0.5067405238298143,0.2358769785098443,0.03643917857781842,0.06312635602851534,0.09896666666666666,0.9635608214221816,RF,FGSM,0.3,PGD_eps0.75_it10,,PGD,0.75,10,,32.33209776878357
0.5482534473223757,0.5933070866141732,0.029958451782199868,0.05703688284162519,0.01721666666666667,0.9700415482178001,RF,FGSM,0.3,PGD_eps0.75_it25,,PGD,0.75,25,,32.33209776878357
0.9436461383643238,0.9995467627529631,0.8768264318231517,0.934173461823573,0.0003333333333333333,0.1231735681768483,RF,FGSM,0.3,CW_c0.0_it10,,CW,,10,0.0,32.33209776878357
0.9419689401013571,0.9995675921711424,0.8731288392342405,0.9320798361682034,0.00031666666666666665,0.1268711607657595,RF,FGSM,0.3,CW_c0.5_it10,,CW,,10,0.5,32.33209776878357
0.9661387269611887,0.988625870897339,0.9365246605570244,0.9618702465417794,0.009033333333333334,0.06347533944297556,MLP,FGSM,0.5,FGSM_eps0.15,140.99965643882751,FGSM,0.15,1,,
0.9042183802797747,0.9751303266535941,0.8106474762936604,0.885313880656962,0.017333333333333333,0.1893525237063396,MLP,FGSM,0.5,FGSM_eps0.3,140.99965643882751,FGSM,0.3,1,,
0.8293337443224572,0.9310165406944901,0.6758443830387849,0.7831695826950322,0.04198333333333333,0.32415561696121503,MLP,FGSM,0.5,FGSM_eps0.5,140.99965643882751,FGSM,0.5,1,,
0.5948070315403933,0.6243956531381681,0.2798441444844244,0.3864759499231276,0.14113333333333333,0.7201558555155756,MLP,FGSM,0.5,FGSM_eps0.75,140.99965643882751,FGSM,0.75,1,,
0.9733914762064495,0.9842363524841545,0.9569806969763235,0.9704171832320361,0.01285,0.04301930302367652,MLP,FGSM,0.5,PGD_eps0.15_it10,140.99965643882751,PGD,0.15,10,,
0.9758392790767251,0.9823612798703929,0.96433612309405,0.9732652508451792,0.014516666666666667,0.035663876905949944,MLP,FGSM,0.5,PGD_eps0.15_it25,140.99965643882751,PGD,0.15,25,,
0.9303282775627136,0.9250917650813917,0.921873446911715,0.9234798020531509,0.06258333333333334,0.07812655308828499,MLP,FGSM,0.5,PGD_eps0.3_it10,140.99965643882751,PGD,0.3,10,,
