accuracy,precision,recall,f1,fpr,fnr,model,split,n_train,n_test,test_attack_rate,attack,asr,family,epsilon,iters,confidence,seed
0.0080868154084657,0.0087760122332291,0.0104963918652963,0.0095594159341703,0.9939333333333332,0.9895036081347036,MLP,random,441209,110303,0.4560438066054413,PGD_eps0.75_it25,0.9919131845915342,PGD,0.75,25.0,,99
0.6320408329782509,0.5839061798335002,0.6720672723296821,0.6248925610669033,0.4015166666666667,0.3279327276703179,LR,random,441209,110303,0.4560438066054413,CW_c0.0_it10,0.2870184854446388,CW,,10.0,0.0,99
0.8062790676590845,0.7651133385864287,0.8300300180903724,0.7962507389820165,0.2136333333333333,0.1699699819096276,SVM,random,441209,110303,0.4560438066054413,CW_c0.0_it10,0.115391240492099,CW,,10.0,0.0,99
0.5768020815390333,0.7752621182191156,0.1014253623044351,0.1793826031924618,0.02465,0.8985746376955649,RF,random,441209,110303,0.4560438066054413,CW_c0.0_it10,0.4230075337932785,CW,,10.0,0.0,99
0.008594507855634,0.0059071588741256,0.0070174741069121,0.0064146246172577,0.9900833333333332,0.992982525893088,MLP,random,441209,110303,0.4560438066054413,CW_c0.0_it10,0.9913782943346964,CW,,10.0,0.0,99
0.6228842370561091,0.5743517917534929,0.6684690773910105,0.6178467418166451,0.4153333333333333,0.3315309226089895,LR,random,441209,110303,0.4560438066054413,CW_c0.5_it10,0.2961569494936674,CW,,10.0,0.5,99
0.8056353861635677,0.7632423756019262,0.8318390553247321,0.7960657109971748,0.2163333333333333,0.1681609446752678,SVM,random,441209,110303,0.4560438066054413,CW_c0.5_it10,0.1161709110359645,CW,,10.0,0.5,99
0.5622784511753987,0.6357286769644056,0.0940898157167564,0.1639190967652559,0.0452,0.9059101842832435,RF,random,441209,110303,0.4560438066054413,CW_c0.5_it10,0.4375311641569132,CW,,10.0,0.5,99
0.0042519242450341,0.0032542848083309,0.0038765083593423,0.0035382493830744,0.9954333333333332,0.9961234916406576,MLP,random,441209,110303,0.4560438066054413,CW_c0.5_it10,0.9957390098184092,CW,,10.0,0.5,99
0.6719853494465245,0.8328510041217223,0.2169651832221511,0.3442501132759402,0.0286482992890532,0.7830348167778488,LR,temporal,441209,110303,0.3968341749544437,clean,0.0,,,,,99
0.6876966174990707,0.8363151060453037,0.2648496755917024,0.4022972550924801,0.034104402459004,0.7351503244082975,SVM,temporal,441209,110303,0.3968341749544437,clean,0.0,,,,,99
0.7236067921996682,0.999398541463048,0.3036872886776935,0.4658244704150824,0.0001202446979603,0.6963127113223065,RF,temporal,441209,110303,0.3968341749544437,clean,0.0,,,,,99
0.9932458772653509,0.998863768115942,0.9840994242895,0.9914266315292818,0.0007364987750071,0.0159005757104998,MLP,temporal,441209,110303,0.3968341749544437,clean,0.0,,,,,99
0.4274589086425573,0.0276843593117902,0.0129763319016723,0.0176702079671483,0.2998451849513761,0.9870236680983276,LR,temporal,441209,110303,0.3968341749544437,FGSM_eps0.15,0.2474547383117413,FGSM,0.15,1.0,,99
0.1233511327887727,0.0108323936632345,0.0133875536872886,0.0119751913271822,0.8043017540695315,0.9866124463127112,SVM,temporal,441209,110303,0.3968341749544437,FGSM_eps0.15,0.5696037279131121,FGSM,0.15,1.0,,99
0.4878199142362401,0.1972876516773733,0.0947180846203052,0.1279886396962353,0.2535509762366416,0.9052819153796948,RF,temporal,441209,110303,0.3968341749544437,FGSM_eps0.15,0.2359047351386635,FGSM,0.15,1.0,,99
