model,attack,n,n_detected_clean,asr,fnr_under_attack,family,epsilon,iters,traffic_family,confidence,seed
MLP,PGD_eps0.3_it10,217,125,1.0,0.576036866359447,PGD,0.3,10,Spoofing,,7
MLP,PGD_eps0.3_it10,2855,0,,,PGD,0.3,10,normal,,7
LR,PGD_eps0.3_it25,192,191,0.6649214659685864,0.6666666666666666,PGD,0.3,25,Data Alteration,,7
LR,PGD_eps0.3_it25,217,26,0.6538461538461539,0.5483870967741935,PGD,0.3,25,Spoofing,,7
LR,PGD_eps0.3_it25,2855,0,,,PGD,0.3,25,normal,,7
SVM,PGD_eps0.3_it25,192,190,0.9526315789473684,0.953125,PGD,0.3,25,Data Alteration,,7
SVM,PGD_eps0.3_it25,217,23,0.7391304347826086,0.576036866359447,PGD,0.3,25,Spoofing,,7
SVM,PGD_eps0.3_it25,2855,0,,,PGD,0.3,25,normal,,7
RF,PGD_eps0.3_it25,192,192,0.78125,0.78125,PGD,0.3,25,Data Alteration,,7
RF,PGD_eps0.3_it25,217,94,0.9680851063829788,0.9723502304147466,PGD,0.3,25,Spoofing,,7
RF,PGD_eps0.3_it25,2855,0,,,PGD,0.3,25,normal,,7
MLP,PGD_eps0.3_it25,192,192,0.9427083333333334,0.9427083333333334,PGD,0.3,25,Data Alteration,,7
MLP,PGD_eps0.3_it25,217,125,1.0,0.576036866359447,PGD,0.3,25,Spoofing,,7
MLP,PGD_eps0.3_it25,2855,0,,,PGD,0.3,25,normal,,7
LR,PGD_eps0.5_it10,192,191,0.9109947643979056,0.9114583333333334,PGD,0.5,10,Data Alteration,,7
LR,PGD_eps0.5_it10,217,26,0.6923076923076923,0.5483870967741935,PGD,0.5,10,Spoofing,,7
LR,PGD_eps0.5_it10,2855,0,,,PGD,0.5,10,normal,,7
SVM,PGD_eps0.5_it10,192,190,0.9526315789473684,0.953125,PGD,0.5,10,Data Alteration,,7
SVM,PGD_eps0.5_it10,217,23,0.7391304347826086,0.576036866359447,PGD,0.5,10,Spoofing,,7
SVM,PGD_eps0.5_it10,2855,0,,,PGD,0.5,10,normal,,7
RF,PGD_eps0.5_it10,192,192,0.9166666666666666,0.9166666666666666,PGD,0.5,10,Data Alteration,,7
RF,PGD_eps0.5_it10,217,94,0.8085106382978723,0.7235023041474654,PGD,0.5,10,Spoofing,,7
RF,PGD_eps0.5_it10,2855,0,,,PGD,0.5,10,normal,,7
MLP,PGD_eps0.5_it10,192,192,0.953125,0.953125,PGD,0.5,10,Data Alteration,,7
MLP,PGD_eps0.5_it10,217,125,1.0,0.576036866359447,PGD,0.5,10,Spoofing,,7
MLP,PGD_eps0.5_it10,2855,0,,,PGD,0.5,10,normal,,7
LR,PGD_eps0.5_it25,192,191,0.8952879581151832,0.8958333333333334,PGD,0.5,25,Data Alteration,,7
