accuracy,precision,recall,f1,fpr,fnr,surrogate,hidden,epochs,surrogate_clean_acc,surrogate_train_s,target,epsilon,asr,seed
0.2080269607843137,0.0900527505651846,0.5843520782396088,0.1560561540972902,0.8458844133099825,0.4156479217603912,deep_long,"[256, 128, 64]",50,0.8863357843137255,27.560778379440308,LR,0.5,0.7169117647058824,42
0.1985294117647058,0.0643505724437425,0.3985330073349633,0.1108089734874235,0.830122591943958,0.6014669926650367,deep_long,"[256, 128, 64]",50,0.8863357843137255,27.560778379440308,SVM,0.5,0.7328431372549019,42
0.8109681372549019,0.1533333333333333,0.1124694376528117,0.1297602256699576,0.0889667250437828,0.8875305623471883,deep_long,"[256, 128, 64]",50,0.8863357843137255,27.560778379440308,RF,0.5,0.1519607843137254,42
0.1780024509803921,0.0640337423312883,0.4083129584352078,0.1107059993370898,0.8549912434325744,0.5916870415647921,submitted,"[32, 12]",12,0.8428308823529411,5.8323304653167725,LR,0.3,0.7432598039215687,7
0.1608455882352941,0.0398894154818325,0.2469437652811736,0.0686841210472628,0.8514886164623467,0.7530562347188264,submitted,"[32, 12]",12,0.8428308823529411,5.8323304653167725,SVM,0.3,0.7647058823529411,7
0.8532475490196079,0.2891566265060241,0.1173594132029339,0.1669565217391304,0.0413309982486865,0.882640586797066,submitted,"[32, 12]",12,0.8428308823529411,5.8323304653167725,RF,0.3,0.1087622549019607,7
0.1580882352941176,0.0447644998053717,0.2811735941320293,0.0772330423102753,0.8595446584938704,0.7188264058679706,submitted,"[32, 12]",12,0.8428308823529411,5.8323304653167725,LR,0.5,0.7631740196078431,7
0.1602328431372549,0.0398579321231254,0.2469437652811736,0.0686374447842337,0.8521891418563923,0.7530562347188264,submitted,"[32, 12]",12,0.8428308823529411,5.8323304653167725,SVM,0.5,0.7653186274509803,7
0.5416666666666666,0.0613397901533494,0.1858190709046454,0.0922330097087378,0.4073555166374781,0.8141809290953546,submitted,"[32, 12]",12,0.8428308823529411,5.8323304653167725,RF,0.5,0.4157475490196078,7
0.1838235294117647,0.0794479671764267,0.5207823960880196,0.1378640776699029,0.8644483362521891,0.4792176039119804,longer,"[32, 12]",50,0.8655024509803921,24.724952697753903,LR,0.3,0.7285539215686274,7
0.1412377450980392,0.0374806800618238,0.2371638141809291,0.0647313980647314,0.8725043782837127,0.7628361858190709,longer,"[32, 12]",50,0.8655024509803921,24.724952697753903,SVM,0.3,0.7751225490196079,7
0.8072916666666666,0.1839080459770115,0.1564792176039119,0.1690885072655218,0.0994746059544658,0.843520782396088,longer,"[32, 12]",50,0.8655024509803921,24.724952697753903,RF,0.3,0.1541053921568627,7
0.1568627450980392,0.0594208349003384,0.3863080684596577,0.1029986962190352,0.8760070052539405,0.6136919315403423,longer,"[32, 12]",50,0.8655024509803921,24.724952697753903,LR,0.5,0.7582720588235294,7
0.1384803921568627,0.0341217526172935,0.2151589242053789,0.0589022757697456,0.8725043782837127,0.784841075794621,longer,"[32, 12]",50,0.8655024509803921,24.724952697753903,SVM,0.5,0.7781862745098039,7
0.2561274509803921,0.0371389270976616,0.1980440097799511,0.0625482625482625,0.7355516637478109,0.8019559902200489,longer,"[32, 12]",50,0.8655024509803921,24.724952697753903,RF,0.5,0.7003676470588235,7
0.3026960784313725,0.1002141327623126,0.5721271393643031,0.1705539358600583,0.7359019264448337,0.4278728606356968,wider,"[128, 64]",12,0.7959558823529411,5.657109498977661,LR,0.3,0.5995710784313726,7
0.2095588235294117,0.0253607345867949,0.1418092909535452,0.043026706231454,0.7807355516637479,0.8581907090464548,wider,"[128, 64]",12,0.7959558823529411,5.657109498977661,SVM,0.3,0.6969975490196079,7
0.8137254901960784,0.0938775510204081,0.0562347188264058,0.0703363914373088,0.0777583187390543,0.9437652811735942,wider,"[128, 64]",12,0.7959558823529411,5.657109498977661,RF,0.3,0.1485906862745098,7
0.2368259803921568,0.0570212765957446,0.3276283618581907,0.0971366437114896,0.7761821366024518,0.6723716381418093,wider,"[128, 64]",12,0.7959558823529411,5.657109498977661,LR,0.5,0.6651348039215687,7
0.2083333333333333,0.0244862264975951,0.1369193154034229,0.0415430267062314,0.7814360770577934,0.863080684596577,wider,"[128, 64]",12,0.7959558823529411,5.657109498977661,SVM,0.5,0.6982230392156863,7
0.3066789215686274,0.0275229357798165,0.1320293398533007,0.0455504006748207,0.6683012259194396,0.8679706601466992,wider,"[128, 64]",12,0.7959558823529411,5.657109498977661,RF,0.5,0.6565563725490197,7
